,property_id,location_id,page_url,type_id,_type,price,price_1,location,city_id,city,province_id,province,latitude,longitude,baths, area(kanal),purpose_id,_purpose,bedrooms,date_added,description,agency_id,_agency,agent_id,_agent,amenities
0,311667,162,https://www.zameen.com/Property/islamabad_f_10_beautiful_house_for_sale-311667-162-1.html,39,House,35000000,PKR3.5 Crore,F-10,31,Islamabad,31,Islamabad Capital,33.691531,73.005431,6,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-10, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 5 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.5 Crore|
1,311670,162,https://www.zameen.com/Property/islamabad_f_10_five_beds_house_for_sale-311670-162-1.html,39,House,32500000,PKR3.25 Crore,F-10,31,Islamabad,31,Islamabad Capital,33.691531,73.005431,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-10, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 5 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.25 Crore|
2,311673,162,https://www.zameen.com/Property/islamabad_f_10_fantastic_house_for_sale-311673-162-1.html,39,House,37000000,PKR3.7 Crore,F-10,31,Islamabad,31,Islamabad Capital,33.691531,73.005431,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-10, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 5 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.7 Crore|
3,311674,162,https://www.zameen.com/Property/islamabad_f_10_excellent_house_for_sale-311674-162-1.html,39,House,38000000,PKR3.8 Crore,F-10,31,Islamabad,31,Islamabad Capital,33.691531,73.005431,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-10, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 5 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.8 Crore|
4,311676,162,https://www.zameen.com/Property/islamabad_f_10_marvelous_house_for_sale-311676-162-1.html,39,House,44000000,PKR4.4 Crore,F-10,31,Islamabad,31,Islamabad Capital,33.691531,73.005431,5,1 Kanal,29,For Sale,6,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-10, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR4.4 Crore|
5,311678,162,https://www.zameen.com/Property/islamabad_f_10_ideal_house_for_sale-311678-162-1.html,39,House,48000000,PKR4.8 Crore,F-10,31,Islamabad,31,Islamabad Capital,33.691531,73.005431,5,1 Kanal,29,For Sale,6,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-10, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR4.8 Crore|
6,311681,163,https://www.zameen.com/Property/islamabad_f_11_six_beds_house_for_sale-311681-163-1.html,39,House,34000000,PKR3.4 Crore,F-11,31,Islamabad,31,Islamabad Capital,33.683532,72.99041,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-11, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.4 Crore|
7,311684,163,https://www.zameen.com/Property/islamabad_f_11_excellent_house_for_sale-311684-163-1.html,39,House,36000000,PKR3.6 Crore,F-11,31,Islamabad,31,Islamabad Capital,33.683532,72.99041,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-11, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.6 Crore|
8,311687,163,https://www.zameen.com/Property/islamabad_f_11_ideal_house_for_sale-311687-163-1.html,39,House,37000000,PKR3.7 Crore,F-11,31,Islamabad,31,Islamabad Capital,33.683532,72.99041,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-11, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR3.7 Crore|
9,311691,163,https://www.zameen.com/Property/islamabad_f_11_excellent_house_for_sale-311691-163-1.html,39,House,42500000,PKR4.25 Crore,F-11,31,Islamabad,31,Islamabad Capital,33.683532,72.99041,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-11, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR4.25 Crore|
10,311692,163,https://www.zameen.com/Property/islamabad_f_11_beautiful_house_for_sale-311692-163-1.html,39,House,45000000,PKR4.5 Crore,F-11,31,Islamabad,31,Islamabad Capital,33.683532,72.99041,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-11, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR4.5 Crore|
11,311694,163,https://www.zameen.com/Property/islamabad_f_11_fantastic_5_beds_house_for_sale-311694-163-1.html,39,House,46000000,PKR4.6 Crore,F-11,31,Islamabad,31,Islamabad Capital,33.683532,72.99041,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-11, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 5 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR4.6 Crore|
12,311753,164,https://www.zameen.com/Property/islamabad_f_6_beautiful_house_for_sale-311753-164-1.html,39,House,45000000,PKR4.5 Crore,F-6,31,Islamabad,31,Islamabad Capital,33.730907,73.074431,5,1 Kanal,29,For Sale,5,11/23/2021,"An ideal house is available for sale. It is situated in Sector F-6, Islamabad. Its measuring area is 500 square yards and it is ideal for residential purpose. It has 6 bedrooms with attached bathrooms, beautiful lawn, servant quarter and also all those things which are important for living. House has outclass location and reasonable price. It is also good for multinational companies. Contact us for further details.",1813,MAC Estate & Builders,2602,"Muhammad Ali, Muhammad Sufiyan, Muhammad Ali",PKR4.5 Crore|
